ID,Tipo,Data,Responsável,Fornecedor,Quem Recebeu,Quem Cadastrou,Local,Material,Tipo Material,Qtd Pacotes,Unids. por Pacote,Qtd Total,Valor Unit.,Valor Total,Obs,Status,Motivo Exclusão,Data Exclusão
1776423397339,Saída,2026-04-17 07:56,MURILLO,,,,QUARTA PARADA,GERBÉRA ROSA,VENDA LOJA,0,0,24,0,0,,ATIVO,,
1776423418255,Saída,2026-04-17 07:56,MURILLO,,,,QUARTA PARADA,GERBÉRA ROXA,VENDA LOJA,0,0,12,0,0,,ATIVO,,
1776423429753,Saída,2026-04-17 07:56,MURILLO,,,,QUARTA PARADA,GERBÉRA VERMELHA,VENDA LOJA,0,0,12,0,0,,ATIVO,,
1776423510942,Saída,2026-04-17 07:57,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO BRANCO,VENDA LOJA,0,0,7,0,0,,ATIVO,,
1776423565932,Saída,2026-04-17 07:58,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO VERMELHO,VENDA LOJA,0,0,1,0,0,,ATIVO,,
1776423579503,Saída,2026-04-17 07:59,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTREMOS MISTO,VENDA LOJA,0,0,1,0,0,,ATIVO,,
1776448424764,Saída,2026-04-17 08:01,MURILLO,,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,16,19,304,0,0,,ATIVO,,
1776448445116,Entrada,2026-04-17 14:53,MURILLO,,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,116,19,2204,0,0,,ATIVO,,
1776512878356,Saída,2026-04-17 14:54,MURILLO,,,,QUARTA PARADA,ROSA CHAMPANHE,VENDA LOJA,2,20,40,0,0,,ATIVO,,
1776512919114,Saída,2026-04-18 08:47,MURILLO,,,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,8,20,160,0,0,,ATIVO,,
1776512948497,Saída,2026-04-18 08:48,MURILLO,,,,QUARTA PARADA,ROSAS VERMELHAS,ORNAMENTAÇÃO,3,20,60,0,0,,ATIVO,,
1776512986139,Saída,2026-04-18 08:49,MURILLO,,,,QUARTA PARADA,ROSA AMARELA,ORNAMENTAÇÃO,2,20,40,0,0,,ATIVO,,
1776513012970,Saída,2026-04-18 08:49,MURILLO,,,,QUARTA PARADA,ROSAS PINK,ORNAMENTAÇÃO,4,20,80,0,0,,ATIVO,,
1776513042954,Saída,2026-04-18 08:50,MURILLO,,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,16,19,304,0,0,,ATIVO,,
